# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ahl2_canalwar
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
weapon_ttt_smokegrenade	1106.945068 1028.719238 0.170314	-1.930 -1.379 -1.389
weapon_ttt_smokegrenade	146.545624 1196.349121 783.330017	27.610 84.736 105.158
weapon_ttt_smokegrenade	187.812057 616.069763 352.130737	-0.991 -1.578 -1.514
weapon_ttt_smokegrenade	499.831665 996.698669 176.169403	-1.960 -1.379 -1.410
weapon_ttt_smokegrenade	1394.294434 1835.737061 176.179367	-1.636 -1.426 -1.177
weapon_ttt_smokegrenade	710.416504 1695.961914 524.150757	-0.792 -1.677 -1.208
weapon_ttt_smokegrenade	960.126282 864.575623 348.160583	-1.480 -1.456 -1.507
item_ammo_smg1_ttt	2075.366699 1050.694458 0.525148	-0.004 28.904 0.264
item_ammo_smg1_ttt	993.722351 -61.404278 17.598686	4.113 -0.188 0.031
item_ammo_smg1_ttt	419.864410 908.432373 37.788868	0.056 0.103 0.094
item_ammo_smg1_ttt	951.075256 832.546753 0.515003	-0.278 0.014 -0.238
item_ammo_smg1_ttt	969.500977 838.340393 0.441262	-0.064 -0.045 -0.029
item_ammo_smg1_ttt	521.560852 1416.190063 524.513489	-0.287 0.013 -0.246
item_ammo_smg1_ttt	957.377869 1070.723022 176.399277	0.153 -0.005 0.091
item_ammo_smg1_ttt	1613.595581 1621.467163 176.432587	0.845 -0.001 0.554
item_ammo_smg1_ttt	1601.527710 1614.499390 176.485016	-0.796 0.003 -0.645
item_ammo_smg1_ttt	1342.615112 1589.430786 352.502655	-0.801 0.013 -0.601
item_ammo_smg1_ttt	1322.721558 1590.955933 352.404144	0.192 -0.005 0.117
item_ammo_smg1_ttt	680.208679 2039.869873 352.482666	0.380 0.001 -0.368
item_ammo_smg1_ttt	917.976501 373.930725 0.396782	0.137 -0.005 0.080
item_ammo_smg1_ttt	925.336243 890.803223 348.394257	0.122 -0.005 0.070
item_ammo_smg1_ttt	492.354095 771.691833 176.485382	-0.797 0.003 -0.647
weapon_ttt_m16	1413.040161 -225.747299 0.881973	1.628 -5.183 84.305
weapon_ttt_m16	291.389618 583.535278 0.829738	2.255 -6.192 84.148
weapon_ttt_m16	240.236633 791.983704 758.491272	16.407 9.806 86.546
weapon_ttt_m16	1169.173950 661.705994 562.389038	-7.054 -6.156 84.690
weapon_ttt_m16	1336.667114 1606.393921 176.883484	1.575 -5.181 84.365
weapon_ttt_m16	477.684021 875.839172 176.883881	1.561 -5.181 84.381
weapon_ttt_m16	961.133728 1590.274780 352.880768	1.670 -5.185 84.259
weapon_ttt_m16	553.546753 1604.673950 352.882141	1.622 -5.182 84.312
weapon_ttt_m16	467.514465 775.252014 352.845093	2.102 -5.966 84.007
weapon_ttt_m16	959.700195 433.959167 0.883695	1.568 -5.181 84.373
weapon_ttt_m16	205.859909 20.339392 -3.141066	2.468 -4.840 84.347
weapon_ttt_m16	958.085693 1131.030762 348.860443	2.166 -5.783 83.937
weapon_ttt_m16	583.164185 1783.528198 -3.146074	2.248 -5.793 84.002
weapon_ttt_m16	855.118774 1608.478516 176.884521	1.538 -5.164 84.406
item_box_buckshot_ttt	920.513916 701.962097 0.402050	-0.870 -0.012 0.773
item_box_buckshot_ttt	919.166687 683.713562 0.386640	-1.007 -0.011 0.896
item_box_buckshot_ttt	182.771332 293.531982 -3.558656	-0.560 -0.007 0.497
item_box_buckshot_ttt	197.248672 298.608154 -3.566589	-0.623 -0.007 0.553
item_box_buckshot_ttt	95.619843 1150.291382 0.451415	-0.483 -0.007 0.428
item_box_buckshot_ttt	109.763390 1152.214111 0.355231	1.042 0.000 -0.837
item_box_buckshot_ttt	140.488312 325.019287 176.405533	-0.845 -0.007 0.750
item_box_buckshot_ttt	142.586502 340.746368 176.402603	-0.856 -0.010 0.764
item_box_buckshot_ttt	1169.527222 845.943054 176.411011	-1.009 0.105 0.791
item_box_buckshot_ttt	1157.137085 845.645996 176.424896	-0.682 -0.006 0.609
item_box_buckshot_ttt	1657.720337 1154.213257 176.375946	0.662 -0.000 -0.447
item_box_buckshot_ttt	1647.791260 1143.987061 176.389771	-0.996 0.018 0.882
item_box_buckshot_ttt	1547.546875 1546.775513 176.431305	-0.566 -0.233 -0.116
